FirstName,LastName,Username,Password,EmailDomain,OU
Ahmed,Hassan,ahmed.it1,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Ali,Saleh,ali.it2,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Omar,Ahmed,omar.it3,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Khaled,Mohammed,khaled.it4,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Faisal,Ali,faisal.it5,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Saad,Yahya,saad.it6,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Nasser,Abdullah,nasser.it7,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Yasser,Hamed,yasser.it8,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Majed,Saeed,majed.it9,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"
Salman,Faraj,salman.it10,Hareth@2030,harethsoft.local,"OU=IT,OU=exchange,DC=harethsoft,DC=local"

Ahmed,Saleh,ahmed.sal1,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Ali,Hassan,ali.sal2,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Omar,Khaled,omar.sal3,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Faisal,Ahmed,faisal.sal4,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Saad,Ali,saad.sal5,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Nasser,Yahya,nasser.sal6,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Yasser,Saleh,yasser.sal7,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Majed,Hamed,majed.sal8,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Salman,Ahmed,salman.sal9,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"
Hani,Mohammed,hani.sal10,Hareth@2030,harethsoft.local,"OU=sales,OU=exchange,DC=harethsoft,DC=local"

Ahmed,Ali,ahmed.fin1,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Ali,Ahmed,ali.fin2,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Omar,Saleh,omar.fin3,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Khaled,Hassan,khaled.fin4,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Faisal,Yahya,faisal.fin5,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Saad,Abdullah,saad.fin6,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Nasser,Ali,nasser.fin7,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Yasser,Ahmed,yasser.fin8,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Majed,Saleh,majed.fin9,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
Salman,Hamed,salman.fin10,Hareth@2030,harethsoft.local,"OU=finance,OU=exchange,DC=harethsoft,DC=local"
